country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Portugal,21.6,22.4,20.7,21.3,21.7,21.6,21.2,21.2,20.9,20.6,19.8,18.8,18.9,,17.1,16.05,15.29,,,,
Romania,,,34.7,35.9,,,36.0,36.0,35.6,34.1,35.4,30.5,26.7,25.2,,,21.61,,21.39,,
Russian Federation,,,,,,,43.46,40.86,38.25,36.72,33.73,32.97,31.08,29.76,28.92,28.28,28.01,27.45,,,
Rwanda,,,,,,,,,,,,,,,,,,5.41,4.97,5.86,
Saint Lucia,15.36,,,,,,,,1.84,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,5.3,4.9,,,,,,,,,,
Samoa,,,,,,,,,,,,,11.76,11.82,11.82,,,,,,
Senegal,,,,,,,,,12.09,13.16,13.57,13.73,14.11,13.86,14.1,,8.27,7.96,9.69,7.36,
Serbia,,,,,,,,30.66,,,33.28,,,,,,,,,,
Seychelles,,,,,,,,,,,,2.04,,,,,,,,,
Sierra Leone,,,,,,,,,24.49,,,,,,23.7,,,,,,
Singapore,15.6,16.53,19.32,20.51,20.1,19.4,18.6,18.1,17.5,17.6,18.03,18.91,19.35,20.41,20.84,21.21,21.8,22.16,21.94,22.18,
Slovakia,32.27,30.51,27.43,26.18,23.65,22.78,20.56,18.77,17.18,16.02,15.22,14.07,13.59,13.29,12.16,10.94,11.78,11.41,11.11,11.08,
Slovenia,,,,,,,,,,,,,,26.5,28.0,25.1,26.9,,,,
Somalia,,,,,,,,,,,,,,,,,,,,11.8,
South Africa,,,,,,,,,,,29.87,29.2,29.64,28.61,28.87,27.27,27.97,28.74,29.32,29.06,
Spain,17.59,17.32,16.9,16.56,16.17,15.53,15.55,16.43,17.39,18.34,18.18,17.93,17.77,17.04,15.81,14.45,13.95,13.4,12.97,12.45,
Sri Lanka,,,,,,,,,,,11.54,24.92,,,9.05,14.44,15.33,,13.06,10.1,
Sudan,,,,,,,,,,,,30.41,,,,,,,,,
